Dataset,SEX,AGE (y),BM (kg),Height (m),VO2peak (L.min-1),Peak Power Output (W) ,GET (L.min-1),GET (W)
1,M,40,80,1.71,4.244,410,2.602,170
2,M,40,80,1.71,4.244,410,2.602,170
3,M,18,74,1.87,4.657,463,2.448,140
4,M,18,74,1.87,4.657,463,2.448,140
5,M,36,77,1.82,4.778,470,2.673,200
6,M,34,66,1.76,4.554,450,2.029,130
7,M,34,66,1.76,4.554,450,2.029,130
8,M,36,72,1.86,4.274,433,1.983,135
9,M,36,72,1.86,4.274,433,1.983,135
10,M,35,71,1.74,4.349,425,2.026,170
11,M,35,71,1.74,4.349,425,2.026,170
12,M,21,69,1.73,3.951,372,1.871,120
13,M,21,69,1.73,3.951,372,1.871,120
14,M,45,76,1.76,4.369,410,1.826,130
15,M,45,76,1.76,4.369,410,1.826,130
16,M,38,75,1.76,4.277,448,1.777,115
17,M,38,75,1.76,4.277,448,1.777,115
18,M,35,78,1.85,4.638,450,2.443,200
19,M,35,78,1.85,4.638,450,2.443,200
20,M,,,,,,,
21,M,,,,,,,
22,M,30,87.3,1.89,3.32,302,1.59,90
23,M,30,87.3,1.89,3.32,302,1.59,90
24,M,30,87.3,1.89,3.32,302,1.59,90
25,M,30,87.3,1.89,3.32,302,1.59,90
26,M,30,87.3,1.89,3.32,302,1.59,90
27,M,30,87.3,1.89,3.32,302,1.59,90
28,M,20,86.5,1.8,3.82,362,2.06,115
29,M,20,86.5,1.8,3.82,362,2.06,115
30,M,20,86.5,1.8,3.82,362,2.06,115
31,M,20,86.5,1.8,3.82,362,2.06,115
32,M,20,86.5,1.8,3.82,362,2.06,115
33,M,20,86.5,1.8,3.82,362,2.06,115
34,M,29,71.7,1.74,4.26,378,2.44,155
35,M,29,71.7,1.74,4.26,378,2.44,155
36,M,29,71.7,1.74,4.26,378,2.44,155
37,M,29,71.7,1.74,4.26,378,2.44,155
38,M,29,71.7,1.74,4.26,378,2.44,155
39,M,29,71.7,1.74,4.26,378,2.44,155
40,M,21,72.6,1.77,3.61,326,2,125
41,M,21,72.6,1.77,3.61,326,2,125
42,M,21,72.6,1.77,3.61,326,2,125
43,M,21,72.6,1.77,3.61,326,2,125
44,M,21,72.6,1.77,3.61,326,2,125
45,M,21,72.6,1.77,3.61,326,2,125
46,M,20,128,1.93,4.54,413,2.36,140
47,M,20,128,1.93,4.54,413,2.36,140
48,M,20,128,1.93,4.54,413,2.36,140
49,M,20,128,1.93,4.54,413,2.36,140
50,M,20,128,1.93,4.54,413,2.36,140
51,M,20,128,1.93,4.54,413,2.36,140
52,M,22,92,1.87,4.27,412,1.99,120
53,M,22,92,1.87,4.27,412,1.99,120
54,M,22,92,1.87,4.27,412,1.99,120
55,M,22,92,1.87,4.27,412,1.99,120
56,M,22,92,1.87,4.27,412,1.99,120
57,M,22,92,1.87,4.27,412,1.99,120
58,M,25,67.2,1.72,3.37,321,1.9,100
59,M,25,67.2,1.72,3.37,321,1.9,100
60,M,25,67.2,1.72,3.37,321,1.9,100
61,M,25,67.2,1.72,3.37,321,1.9,100
62,M,25,67.2,1.72,3.37,321,1.9,100
63,M,25,67.2,1.72,3.37,321,1.9,100
64,M,26,90,1.75,3.68,356,2.16,140
65,M,26,90,1.75,3.68,356,2.16,140
66,M,26,90,1.75,3.68,356,2.16,140
67,M,26,90,1.75,3.68,356,2.16,140
68,M,26,90,1.75,3.68,356,2.16,140
69,M,26,90,1.75,3.68,356,2.16,140
70,M,21,75,1.73,3.8,347,2.01,120
71,M,21,75,1.73,3.8,347,2.01,120
72,M,21,75,1.73,3.8,347,2.01,120
73,M,21,75,1.73,3.8,347,2.01,120
74,M,21,75,1.73,3.8,347,2.01,120
75,M,21,75,1.73,3.8,347,2.01,120
76,M,24,69,1.73,3.55,345,1.78,95
77,M,24,69,1.73,3.55,345,1.78,95
78,M,24,69,1.73,3.55,345,1.78,95
79,M,24,69,1.73,3.55,345,1.78,95
80,M,24,69,1.73,3.55,345,1.78,95
81,M,24,69,1.73,3.55,345,1.78,95
78,M,22,72,1.71,4.31,402,1.96,130
79,M,22,72,1.71,4.31,402,1.96,130
80,M,22,72,1.71,4.31,402,1.96,130
81,M,22,72,1.71,4.31,402,1.96,130
82,M,22,73,1.7,4.11,389,1.91,110
83,M,22,73,1.7,4.11,389,1.91,110
84,M,22,73,1.7,4.11,389,1.91,110
85,M,22,73,1.7,4.11,389,1.91,110
86,M,22,73,1.7,4.11,389,1.91,110
87,M,22,73,1.7,4.11,389,1.91,110
88,M,19,70.7,1.77,3.45,335,1.87,125
89,M,19,70.7,1.77,3.45,335,1.87,125
90,M,19,70.7,1.77,3.45,335,1.87,125
91,M,19,70.7,1.77,3.45,335,1.87,125
92,M,19,70.7,1.77,3.45,335,1.87,125
93,M,19,70.7,1.77,3.45,335,1.87,125
94,M,20,65.9,1.69,2.83,251,1.71,110
95,M,20,65.9,1.69,2.83,251,1.71,110
96,M,20,65.9,1.69,2.83,251,1.71,110
97,M,20,65.9,1.69,2.83,251,1.71,110
98,M,20,65.9,1.69,2.83,251,1.71,110
99,M,20,65.9,1.69,2.83,251,1.71,110
100,M,20,65.9,1.69,2.83,251,1.71,110
101,M,20,65.9,1.69,2.83,251,1.71,110
102,M,25,83,1.82,3.85,358,1.99,110
103,M,25,83,1.82,3.85,358,1.99,110
104,M,25,83,1.82,3.85,358,1.99,110
105,M,25,83,1.82,3.85,358,1.99,110
106,M,25,83,1.82,3.85,358,1.99,110
107,M,25,83,1.82,3.85,358,1.99,110
108,M,21,89.9,1.74,4.11,389,1.91,110
109,M,21,89.9,1.74,4.11,389,1.91,110
110,M,21,89.9,1.74,4.11,389,1.91,110
111,M,21,89.9,1.74,4.11,389,1.91,110
112,M,21,89.9,1.74,4.11,389,1.91,110
113,M,21,89.9,1.74,4.11,389,1.91,110
114,M,20,67,1.72,3.51,322,1.56,115
115,M,20,67,1.72,3.51,322,1.56,115
116,M,20,67,1.72,3.51,322,1.56,115
117,M,20,67,1.72,3.51,322,1.56,115
118,M,20,67,1.72,3.51,322,1.56,115
119,M,20,67,1.72,3.51,322,1.56,115
120,M,20,79,1.8,3.26,306,2.03,125
121,M,20,79,1.8,3.26,306,2.03,125
122,M,20,79,1.8,3.26,306,2.03,125
